"human_rank","image_id","image_path","selection_reason"
"1","p0_img12","data/raw/p0_img12.png",""
"2","p0_img15","data/raw/p0_img15.png",""
"3","p0_img17","data/raw/p0_img17.png",""
"4","p0_img23","data/raw/p0_img23.png",""
"5","p0_img27","data/raw/p0_img27.png",""
"6","p0_img3","data/raw/p0_img3.png",""
"7","p0_img4","data/raw/p0_img4.png",""
"8","p0_img5","data/raw/p0_img5.png",""
"9","p0_img6","data/raw/p0_img6.png",""
"10","p0_img7","data/raw/p0_img7.png",""
"11","p0_img8","data/raw/p0_img8.png",""
"12","p0_img9","data/raw/p0_img9.png",""
"13","p0_seed14","data/raw/p0_seed14.jpg",""
"14","p0_seed20","data/raw/p0_seed20.jpg",""
"15","p0_seed9","data/raw/p0_seed9.jpg",""
"16","p1_img10","data/raw/p1_img10.png",""
"17","p1_img16","data/raw/p1_img16.png",""
"18","p1_img20","data/raw/p1_img20.png",""
"19","p1_img7","data/raw/p1_img7.png",""
"20","p2_img23","data/raw/p2_img23.png",""
"21","p2_img25","data/raw/p2_img25.png",""
"22","p2_seed0","data/raw/p2_seed0.jpg",""
"23","p2_seed10","data/raw/p2_seed10.jpg",""
"24","p2_seed13","data/raw/p2_seed13.jpg",""
"25","p2_seed16","data/raw/p2_seed16.jpg",""
"26","p2_seed19","data/raw/p2_seed19.jpg",""
"27","p2_seed2","data/raw/p2_seed2.jpg",""
"28","p2_seed20","data/raw/p2_seed20.jpg",""
"29","p2_seed24","data/raw/p2_seed24.jpg",""
"30","p2_seed25","data/raw/p2_seed25.jpg",""
"31","p2_seed29","data/raw/p2_seed29.jpg",""
"32","p2_seed4","data/raw/p2_seed4.jpg",""
"33","p2_seed5","data/raw/p2_seed5.jpg",""
"34","p2_seed6","data/raw/p2_seed6.jpg",""
"35","p2_seed7","data/raw/p2_seed7.jpg",""
"36","p2_seed8","data/raw/p2_seed8.jpg",""
"37","p2_seed9","data/raw/p2_seed9.jpg",""
"38","p3_img22","data/raw/p3_img22.png",""
"39","p4_img13","data/raw/p4_img13.png",""
"40","p4_img21","data/raw/p4_img21.png",""
"41","p4_img24","data/raw/p4_img24.png",""
"42","p4_img3","data/raw/p4_img3.png",""
"43","p4_seed10","data/raw/p4_seed10.jpg",""
"44","p4_seed2","data/raw/p4_seed2.jpg",""
"45","p4_seed4","data/raw/p4_seed4.jpg",""
"46","p4_seed5","data/raw/p4_seed5.jpg",""
"47","p4_seed6","data/raw/p4_seed6.jpg",""
"48","p6_seed2","data/raw/p6_seed2.jpg",""
"49","p7_img3","data/raw/p7_img3.png",""
"50","p7_img8","data/raw/p7_img8.png",""
"51","p8_img15","data/raw/p8_img15.png",""
"52","p8_img3","data/raw/p8_img3.png",""
"53","p0_seed1","data/raw/p0_seed1.jpg",""
"54","p0_seed10","data/raw/p0_seed10.jpg",""
"55","p0_seed11","data/raw/p0_seed11.jpg",""
"56","p0_seed12","data/raw/p0_seed12.jpg",""
"57","p1_img11","data/raw/p1_img11.png",""
"58","p1_img15","data/raw/p1_img15.png",""
"59","p1_img17","data/raw/p1_img17.png",""
"60","p1_seed1","data/raw/p1_seed1.jpg",""
"61","p1_seed19","data/raw/p1_seed19.jpg",""
"62","p1_seed28","data/raw/p1_seed28.jpg",""
"63","p1_seed9","data/raw/p1_seed9.jpg",""
"64","p2_img10","data/raw/p2_img10.png",""
"65","p2_img11","data/raw/p2_img11.png",""
"66","p2_img13","data/raw/p2_img13.png",""
"67","p2_img19","data/raw/p2_img19.png",""
"68","p2_img20","data/raw/p2_img20.png",""
"69","p3_img11","data/raw/p3_img11.png",""
"70","p3_img17","data/raw/p3_img17.png",""
"71","p3_img21","data/raw/p3_img21.png",""
"72","p3_img23","data/raw/p3_img23.png",""
"73","p3_img24","data/raw/p3_img24.png",""
"74","p3_img25","data/raw/p3_img25.png",""
"75","p3_seed16","data/raw/p3_seed16.jpg",""
"76","p3_seed17","data/raw/p3_seed17.jpg",""
"77","p3_seed4","data/raw/p3_seed4.jpg",""
"78","p4_img0","data/raw/p4_img0.png",""
"79","p4_img1","data/raw/p4_img1.png",""
"80","p4_img10","data/raw/p4_img10.png",""
"81","p4_seed0","data/raw/p4_seed0.jpg",""
"82","p4_seed1","data/raw/p4_seed1.jpg",""
"83","p5_img16","data/raw/p5_img16.png",""
"84","p5_img29","data/raw/p5_img29.png",""
"85","p5_seed11","data/raw/p5_seed11.jpg",""
"86","p5_seed12","data/raw/p5_seed12.jpg",""
"87","p5_seed26","data/raw/p5_seed26.jpg",""
"88","p5_seed9","data/raw/p5_seed9.jpg",""
"89","p6_img21","data/raw/p6_img21.png",""
"90","p6_seed7","data/raw/p6_seed7.jpg",""
"91","p7_img16","data/raw/p7_img16.png",""
"92","p7_img17","data/raw/p7_img17.png",""
"93","p7_img2","data/raw/p7_img2.png",""
"94","p7_img20","data/raw/p7_img20.png",""
"95","p7_img21","data/raw/p7_img21.png",""
"96","p8_img12","data/raw/p8_img12.png",""
"97","p8_img2","data/raw/p8_img2.png",""
"98","p8_img23","data/raw/p8_img23.png",""
"99","p8_img27","data/raw/p8_img27.png",""
"100","p9_img22","data/raw/p9_img22.png",""
