"image_id","image_path","quality_score","human_label"
"p0_img0","data/raw/p0_img0.png","9","Good"
"p0_img1","data/raw/p0_img1.png","7","Bad"
"p0_img10","data/raw/p0_img10.png","8","Good"
"p0_img11","data/raw/p0_img11.png","9","Good"
"p0_img13","data/raw/p0_img13.png","9","Good"
"p0_img14","data/raw/p0_img14.png","8","Good"
"p0_img16","data/raw/p0_img16.png","8","Good"
"p0_img18","data/raw/p0_img18.png","9","Good"
"p0_img19","data/raw/p0_img19.png","8","Good"
"p0_img2","data/raw/p0_img2.png","8","Good"
"p0_img20","data/raw/p0_img20.png","9","Good"
"p0_img21","data/raw/p0_img21.png","8","Good"
"p0_img22","data/raw/p0_img22.png","9","Good"
"p0_img24","data/raw/p0_img24.png","8","Good"
"p0_img25","data/raw/p0_img25.png","9","Good"
"p0_img26","data/raw/p0_img26.png","8","Good"
"p0_img28","data/raw/p0_img28.png","9","Good"
"p0_img29","data/raw/p0_img29.png","9","Good"
"p0_seed0","data/raw/p0_seed0.jpg","7","Bad"
"p0_seed13","data/raw/p0_seed13.jpg","9","Good"
"p0_seed15","data/raw/p0_seed15.jpg","7","Bad"
"p0_seed16","data/raw/p0_seed16.jpg","7","Bad"
"p0_seed17","data/raw/p0_seed17.jpg","5","Bad"
"p0_seed18","data/raw/p0_seed18.jpg","8","Good"
"p0_seed19","data/raw/p0_seed19.jpg","9","Good"
"p0_seed2","data/raw/p0_seed2.jpg","6","Bad"
"p0_seed21","data/raw/p0_seed21.jpg","6","Bad"
"p0_seed22","data/raw/p0_seed22.jpg","9","Good"
"p0_seed23","data/raw/p0_seed23.jpg","6","Bad"
"p0_seed24","data/raw/p0_seed24.jpg","8","Good"
"p0_seed25","data/raw/p0_seed25.jpg","8","Good"
"p0_seed26","data/raw/p0_seed26.jpg","7","Bad"
"p0_seed27","data/raw/p0_seed27.jpg","7","Bad"
"p0_seed28","data/raw/p0_seed28.jpg","9","Good"
"p0_seed29","data/raw/p0_seed29.jpg","8","Good"
