image_id,image_path,human_label,model,model_name,predicted_label,score_good,score_bad,match,checkpoint_path,learning_rate,source_wandb_run_id,best_epoch,best_val_f1
p0_img1,data/raw/p0_img1.png,Bad,VGG16,vgg16,Good,0.721394,0.278606,0,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p0_img10,data/raw/p0_img10.png,Good,VGG16,vgg16,Good,0.864579,0.135421,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p0_img11,data/raw/p0_img11.png,Good,VGG16,vgg16,Good,0.87851,0.12149,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p0_img12,data/raw/p0_img12.png,Good,VGG16,vgg16,Good,0.807873,0.192127,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p0_img13,data/raw/p0_img13.png,Good,VGG16,vgg16,Good,0.915312,0.084688,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p0_img18,data/raw/p0_img18.png,Good,VGG16,vgg16,Good,0.767937,0.232063,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p0_img19,data/raw/p0_img19.png,Good,VGG16,vgg16,Good,0.919536,0.080464,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p0_img20,data/raw/p0_img20.png,Good,VGG16,vgg16,Good,0.785172,0.214829,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p0_img21,data/raw/p0_img21.png,Good,VGG16,vgg16,Good,0.948479,0.051521,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
p0_img22,data/raw/p0_img22.png,Good,VGG16,vgg16,Good,0.874491,0.125509,1,outputs/checkpoints/best_vgg16_lr0.0001.pth,0.0001,sgxudag7,4,0.8307692307692308
